Date : 2023-03-08 19:53:43
Directory : c:\Users\amrit\Documents\femunity-v2
Total : 91 files,  5173 codes, 298 comments, 602 blanks, all 6073 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\amrit\Documents\femunity-v2\lib\core\constants\firebase_constants.dart                        | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\enums\enums.dart                                         | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\faliures.dart                                            | Dart       |          4 |          0 |          1 |          5 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\providers\firebase_providers.dart                        | Dart       |          9 |          0 |          2 |         11 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\providers\storage_repository_provider.dart               | Dart       |         29 |          0 |          8 |         37 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\type_defs.dart                                           | Dart       |          4 |          0 |          1 |          5 |
| c:\Users\amrit\Documents\femunity-v2\lib\core\utils.dart                                               | Dart       |         14 |          0 |          5 |         19 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\auth\controller\auth_controller.dart                 | Dart       |         42 |          0 |         10 |         52 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\auth\repository\auth.repository.dart                 | Dart       |         72 |          0 |         12 |         84 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\auth\screens\login_screen.dart                       | Dart       |         85 |          0 |          4 |         89 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\controller\community_controller.dart     | Dart       |        146 |          0 |         20 |        166 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\repository\community_repository.dart     | Dart       |        130 |          0 |         14 |        144 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\add_mod_screen.dart              | Dart       |         84 |          1 |          7 |         92 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\community_screen.dart            | Dart       |        142 |          0 |          5 |        147 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\create_community_sc.dart         | Dart       |         71 |          0 |          6 |         77 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\edit_community_screen.dart       | Dart       |        143 |          0 |         10 |        153 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\mod_tools_screen.dart            | Dart       |         64 |          3 |          6 |         73 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\feed\feed_screen.dart                                | Dart       |         28 |          0 |          3 |         31 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\home\delegates\search_community_delegate.dart        | Dart       |         50 |          0 |          6 |         56 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\home\drawer\list_of_communities.dart                 | Dart       |         63 |          0 |          5 |         68 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\home\drawer\profile_drawer.dart                      | Dart       |        124 |          0 |          6 |        130 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\home\home_screen.dart                                | Dart       |         93 |          1 |         11 |        105 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\controller\posts_controller.dart               | Dart       |        207 |          0 |         20 |        227 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\repository\posts_repository.dart               | Dart       |        118 |          0 |         16 |        134 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\add_posts_screen.dart                  | Dart       |         74 |          0 |          4 |         78 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\add_posts_type_screen.dart             | Dart       |        197 |          0 |         11 |        208 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\comment_screen.dart                    | Dart       |        117 |          2 |          8 |        127 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\posts\widget\comment_card.dart                       | Dart       |         51 |          0 |          3 |         54 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\controller\user_profile_controller.dart | Dart       |         86 |          0 |          7 |         93 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\repository\user_profile_repository.dart | Dart       |         56 |          0 |          6 |         62 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\screens\edit_profie_screen.dart         | Dart       |        167 |          3 |         15 |        185 |
| c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\screens\user_profile_screen.dart        | Dart       |        136 |          0 |          6 |        142 |
| c:\Users\amrit\Documents\femunity-v2\lib\firebase_options.dart                                         | Dart       |         54 |         12 |          4 |         70 |
| c:\Users\amrit\Documents\femunity-v2\lib\main.dart                                                     | Dart       |         62 |          0 |          6 |         68 |
| c:\Users\amrit\Documents\femunity-v2\lib\models\comment_model.dart                                     | Dart       |         77 |          0 |          8 |         85 |
| c:\Users\amrit\Documents\femunity-v2\lib\models\community_model.dart                                   | Dart       |         78 |          0 |          9 |         87 |
| c:\Users\amrit\Documents\femunity-v2\lib\models\post_model.dart                                        | Dart       |        142 |          0 |          9 |        151 |
| c:\Users\amrit\Documents\femunity-v2\lib\models\user_model.dart                                        | Dart       |         86 |          0 |          9 |         95 |
| c:\Users\amrit\Documents\femunity-v2\lib\router.dart                                                   | Dart       |         61 |          0 |          3 |         64 |
| c:\Users\amrit\Documents\femunity-v2\lib\theme\pallate.dart                                            | Dart       |         79 |          2 |         10 |         91 |
| c:\Users\amrit\Documents\femunity-v2\linux\flutter\generated_plugin_registrant.cc                      | C++        |          7 |          4 |          5 |         16 |
| c:\Users\amrit\Documents\femunity-v2\linux\flutter\generated_plugin_registrant.h                       | C++        |          5 |          5 |          6 |         16 |
| c:\Users\amrit\Documents\femunity-v2\linux\main.cc                                                     | C++        |          5 |          0 |          2 |          7 |
| c:\Users\amrit\Documents\femunity-v2\linux\my_application.cc                                           | C++        |         74 |         11 |         20 |        105 |
| c:\Users\amrit\Documents\femunity-v2\linux\my_application.h                                            | C++        |          7 |          7 |          5 |         19 |
| c:\Users\amrit\Documents\femunity-v2\macos\Flutter\GeneratedPluginRegistrant.swift                     | Swift      |         16 |          3 |          4 |         23 |
| c:\Users\amrit\Documents\femunity-v2\macos\Runner\AppDelegate.swift                                    | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\amrit\Documents\femunity-v2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json     | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\amrit\Documents\femunity-v2\macos\Runner\Base.lproj\MainMenu.xib                              | XML        |        343 |          0 |          1 |        344 |
| c:\Users\amrit\Documents\femunity-v2\macos\Runner\MainFlutterWindow.swift                              | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\amrit\Documents\femunity-v2\pubspec.yaml                                                      | YAML       |         64 |         51 |         16 |        131 |
| c:\Users\amrit\Documents\femunity-v2\test\widget_test.dart                                             | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\amrit\Documents\femunity-v2\web\index.html                                                    | HTML       |         39 |         16 |          7 |         62 |
| c:\Users\amrit\Documents\femunity-v2\web\manifest.json                                                 | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\amrit\Documents\femunity-v2\windows\flutter\generated_plugin_registrant.cc                    | C++        |          6 |          4 |          5 |         15 |
| c:\Users\amrit\Documents\femunity-v2\windows\flutter\generated_plugin_registrant.h                     | C++        |          5 |          5 |          6 |         16 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\flutter_window.cpp                                 | C++        |         48 |          4 |         15 |         67 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\flutter_window.h                                   | C++        |         20 |          5 |          9 |         34 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\main.cpp                                           | C++        |         30 |          4 |         10 |         44 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\resource.h                                         | C++        |          9 |          6 |          2 |         17 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\utils.cpp                                          | C++        |         53 |          2 |         10 |         65 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\utils.h                                            | C++        |          8 |          6 |          6 |         20 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\win32_window.cpp                                   | C++        |        210 |         24 |         55 |        289 |
| c:\Users\amrit\Documents\femunity-v2\windows\runner\win32_window.h                                     | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                  |            |      5,173 |        298 |        602 |      6,073 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
